ASIN,URL_USA,URL_Canada,Price_USA,Price_Canada,Profit($),Profit_Percentage(%)
B01NAXKPHT,https://www.amazon.com/dp/B01NAXKPHT,https://www.amazon.ca/dp/B01NAXKPHT,9.99,15.99,6.0,60.06
B0973DGD8P,https://www.amazon.com/dp/B0973DGD8P,https://www.amazon.ca/dp/B0973DGD8P,24.99,39.99,15.0,60.02
B08HW1L75J,https://www.amazon.com/dp/B08HW1L75J,https://www.amazon.ca/dp/B08HW1L75J,47.03,74.98,27.95,59.43
B01LET2BFC,https://www.amazon.com/dp/B01LET2BFC,https://www.amazon.ca/dp/B01LET2BFC,8.79,13.99,5.2,59.16
B07V43JT35,https://www.amazon.com/dp/B07V43JT35,https://www.amazon.ca/dp/B07V43JT35,9.99,15.88,5.89,58.96
B09P84BX7P,https://www.amazon.com/dp/B09P84BX7P,https://www.amazon.ca/dp/B09P84BX7P,11.99,18.98,6.99,58.3
B01728NLRG,https://www.amazon.com/dp/B01728NLRG,https://www.amazon.ca/dp/B01728NLRG,151.47,239.25,87.78,57.95
B00VF9BJBE,https://www.amazon.com/dp/B00VF9BJBE,https://www.amazon.ca/dp/B00VF9BJBE,46.0,72.5,26.5,57.61
B0B9S5HZ26,https://www.amazon.com/dp/B0B9S5HZ26,https://www.amazon.ca/dp/B0B9S5HZ26,22.94,35.99,13.05,56.89
B09W4PLVQP,https://www.amazon.com/dp/B09W4PLVQP,https://www.amazon.ca/dp/B09W4PLVQP,19.88,31.08,11.2,56.34
B07T6NNKJ4,https://www.amazon.com/dp/B07T6NNKJ4,https://www.amazon.ca/dp/B07T6NNKJ4,16.98,26.34,9.36,55.12
B099PQB6TZ,https://www.amazon.com/dp/B099PQB6TZ,https://www.amazon.ca/dp/B099PQB6TZ,12.99,19.99,7.0,53.89
B0BPMB1Y13,https://www.amazon.com/dp/B0BPMB1Y13,https://www.amazon.ca/dp/B0BPMB1Y13,12.99,19.99,7.0,53.89
B07HF3X6Y4,https://www.amazon.com/dp/B07HF3X6Y4,https://www.amazon.ca/dp/B07HF3X6Y4,29.99,45.99,16.0,53.35
B09B8SR69P,https://www.amazon.com/dp/B09B8SR69P,https://www.amazon.ca/dp/B09B8SR69P,18.8,28.79,9.99,53.14
B077BMY1KZ,https://www.amazon.com/dp/B077BMY1KZ,https://www.amazon.ca/dp/B077BMY1KZ,19.99,30.49,10.5,52.53
B07H7WF6NN,https://www.amazon.com/dp/B07H7WF6NN,https://www.amazon.ca/dp/B07H7WF6NN,22.87,34.87,12.0,52.47
B01FXROXFW,https://www.amazon.com/dp/B01FXROXFW,https://www.amazon.ca/dp/B01FXROXFW,22.99,34.99,12.0,52.2
B0CG1Q44MC,https://www.amazon.com/dp/B0CG1Q44MC,https://www.amazon.ca/dp/B0CG1Q44MC,32.99,49.99,17.0,51.53
B0936FGLQS,https://www.amazon.com/dp/B0936FGLQS,https://www.amazon.ca/dp/B0936FGLQS,85.98,129.96,43.98,51.15
B09MVP6DN9,https://www.amazon.com/dp/B09MVP6DN9,https://www.amazon.ca/dp/B09MVP6DN9,9.99,14.99,5.0,50.05
B0BHSXFTGH,https://www.amazon.com/dp/B0BHSXFTGH,https://www.amazon.ca/dp/B0BHSXFTGH,19.99,29.99,10.0,50.03
B08KXKVT4K,https://www.amazon.com/dp/B08KXKVT4K,https://www.amazon.ca/dp/B08KXKVT4K,17.99,26.99,9.0,50.03
B07H8WTFHW,https://www.amazon.com/dp/B07H8WTFHW,https://www.amazon.ca/dp/B07H8WTFHW,99.95,149.95,50.0,50.03
B09WF796VW,https://www.amazon.com/dp/B09WF796VW,https://www.amazon.ca/dp/B09WF796VW,19.99,29.99,10.0,50.03
B09DK9M69S,https://www.amazon.com/dp/B09DK9M69S,https://www.amazon.ca/dp/B09DK9M69S,17.99,26.99,9.0,50.03
B01M16WBW1,https://www.amazon.com/dp/B01M16WBW1,https://www.amazon.ca/dp/B01M16WBW1,29.99,44.97,14.98,49.95
B0BNDM2RNG,https://www.amazon.com/dp/B0BNDM2RNG,https://www.amazon.ca/dp/B0BNDM2RNG,139.99,209.03,69.04,49.32
